LineNumber,SeriesCode,LineDescription,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1
1,A191RL,Gross domestic product,2.5,3.5,2.9,1.1,3.1,2.0,2.1,2.1,-5.0
2,DPCERL,Personal consumption expenditures,1.7,4.0,3.5,1.4,1.1,4.6,3.2,1.8,-6.8
3,DGDSRL,-Goods,1.3,5.4,3.6,1.6,1.5,8.6,5.3,0.6,0.2
4,DDURRL,--Durable goods,2.3,8.0,3.6,1.3,0.3,13.0,8.1,2.8,-13.8
5,DNDGRL,--Nondurable goods,0.7,4.1,3.6,1.7,2.2,6.5,3.9,-0.6,8.0
6,DSERRL,-Services,1.9,3.4,3.4,1.4,1.0,2.8,2.2,2.4,-9.8
7,A006RL,Gross private domestic investment,6.2,-1.8,13.7,3.0,6.2,-6.3,-1.0,-6.0,-10.2
8,A007RL,-Fixed investment,5.5,5.2,0.7,2.7,3.2,-1.4,-0.8,-0.6,-1.3
9,A008RL,--Nonresidential,8.8,7.9,2.1,4.8,4.4,-1.0,-2.3,-2.4,-6.4
10,A009RL,---Structures,12.1,11.0,-2.1,-9.0,4.0,-11.1,-9.9,-7.2,2.6
11,Y033RL,---Equipment,6.6,3.4,2.9,7.4,-0.1,0.8,-3.8,-4.3,-16.6
12,Y001RL,---Intellectual property products,9.7,11.9,4.1,11.7,10.8,3.6,4.7,2.8,1.3
13,A011RL,--Residential,-5.3,-3.7,-4.0,-4.7,-1.0,-3.0,4.6,6.5,18.2
16,A020RL,-Exports,0.8,5.8,-6.2,1.5,4.1,-5.7,1.0,2.1,-9.0
17,A253RL,--Goods,1.2,12.0,-9.1,2.6,4.6,-5.9,2.1,-0.6,-1.9
18,A646RL,--Services,-0.1,-5.3,-0.1,-0.7,3.3,-5.1,-1.3,7.2,-21.1
19,A021RL,-Imports,0.6,0.3,8.6,3.5,-1.5,0.0,1.8,-8.4,-15.7
20,A255RL,--Goods,1.4,0.8,9.2,2.3,-2.8,0.1,1.1,-11.4,-12.2
21,A656RL,--Services,-2.8,-2.0,6.1,8.9,4.5,-0.7,4.8,4.9,-28.6
22,A822RL,Government consumption expenditures and gross investment,1.9,2.6,2.1,-0.4,2.9,4.8,1.7,2.5,1.1
23,A823RL,-Federal,2.8,3.9,2.9,1.1,2.2,8.3,3.3,3.4,2.0
24,A824RL,--National defense,0.6,7.5,3.0,5.2,7.7,3.3,2.2,4.4,1.1
25,A825RL,--Nondefense,6.0,-1.0,2.8,-4.5,-5.4,16.1,5.0,1.9,3.3
26,A829RL,-State and local,1.4,1.8,1.6,-1.2,3.3,2.7,0.7,2.0,0.5
27,A191RP,"-Gross domestic product, current dollars",5.0,7.1,4.8,2.9,3.9,4.7,3.8,3.5,-3.4
